                                                  GEOID  votes_dem  ...  index_right  District
776                                       28015-CALVARY          3  ...            1         2
777                              28051-BEAT 1 LEXINGTON        831  ...            1         2
778                         28029-CRYSTAL SPRINGS SOUTH        967  ...            1         2
779                                 28123-BEAT 5/STEELE          2  ...            1         2
780                                   28149-ST ALOYSIUS        240  ...            1         2
781                            28089-FAIRVIEW MB CHURCH       1291  ...            1         2
785               28163-3-4 WASHINGTON ST. FIRE STATION        185  ...            1         2
786                                       28011-CHOCTAW        140  ...            1         2
792                                          28079-LENA        200  ...            1         2
794                                 28083-GWD SOUTHWEST        339  ...            1         2
795                              28029-HAZLEHURST SOUTH        186  ...            1         2
797                                       28149-GOODRUM        249  ...            1         2
801                                         28099-FUSKY          7  ...            1         2
804                                        28013-BANNER         52  ...            1         2
809                                        28019-KENEGO          8  ...            1         2
814                                   28049-SPRINGRIDGE        153  ...            1         2
817                               28089-MARK APARTMENTS       1565  ...            1         2
820                                 28133-43-DODDSVILLE        111  ...            1         2
823                              28161-FIVE COFFEEVILLE        243  ...            1         2
829                                   28151-TAMPA DRIVE        292  ...            1         2
833                    28053-LAKE CITY SOUTH - 3LS 3030          9  ...            1         2
834                             28143-TUNICA AUDITORIUM        333  ...            1         2
835                                   28149-TINGLEVILLE        457  ...            1         2
839                                     28037-EDDICETON         31  ...            1         2
841                             28043-BOX 4 TAYLOR HALL       1333  ...            1         2
846                                  28085-LINCOLN WEST         53  ...            1         2
850                 28089-GLUCKSTADT AT ST JOE CATHOLIC       1018  ...            1         2
851                          28029-CRYSTAL SPRINGS EAST        673  ...            1         2
855                                       28135-PHILLIP         98  ...            1         2
857                                  28097-WINONA SOUTH        631  ...            1         2
860                                     28083-GWD NORTH        770  ...            1         2
861                                       28137-SHERROD         22  ...            1         2
869                               28011-CLEVELAND NORTH        407  ...            1         2
872                                     28027-JONESTOWN        542  ...            1         2
877                                        28135-PAYNES         19  ...            1         2
881                                   28127-FORK CHURCH        237  ...            1         2
882                                 28007-SOUTH CENTRAL        326  ...            1         2
885                               28157-FORT ADAMS 2020        246  ...            1         2
886                                        28007-MCCOOL        108  ...            1         2
890                                  28001-4 MORGANTOWN        352  ...            1         2
892                                         28007-ETHEL        100  ...            1         2
893                               28083-ITTA BENA SOUTH        249  ...            1         2
900                                        28037-MCCALL         57  ...            1         2
915                                      28077-STRINGER        192  ...            1         2
917                                  28143-NEW SUB PARK        258  ...            1         2
920                                       28149-OAKLAND        175  ...            1         2
933                                  28005-EAST GLOSTER         78  ...            1         2
934                                       28051-1 ACONA        457  ...            1         2
936                                       28049-CYNTHIA        360  ...            1         2
939                 28107-MACEDONIA-CONCORD COMM CENTER        627  ...            1         2
943                 28089-RIDGEL D 1ST METHODIST CHURCH        751  ...            1         2
946                     28043-SWEETHOME HOL#2 FIRE STAT         92  ...            1         2
949                          28089-MT. HOPE M.B. CHURCH         60  ...            1         2
953                                         28127-PEARL         88  ...            1         2
955                              28163-3-2 OLD JR. HIGH        467  ...            1         2
956                                            28049-32        266  ...            1         2
957                            28151-EXTENSION BUILDING        448  ...            1         2
958                                            28049-31        572  ...            1         2
960                                            28049-30        367  ...            1         2
962                                            28049-37        487  ...            1         2
964                                            28049-36        621  ...            1         2
965                                            28049-35        390  ...            1         2
967                                            28049-34        458  ...            1         2
971                                            28049-39        644  ...            1         2
973                                            28049-38        522  ...            1         2
980                                  28029-MARTINSVILLE        228  ...            1         2
988                                            28049-22        936  ...            1         2
989           28089-CANTON SOUTH LIBERTY BAPTIST CHURCH        886  ...            1         2
990                                            28049-21        668  ...            1         2
991                                     28079-GOOD HOPE        114  ...            1         2
992                                            28049-20        350  ...            1         2
994                                    28005-VANCE PARK         21  ...            1         2
995                                            28049-26       1018  ...            1         2
998                                            28049-25        797  ...            1         2
999                                            28049-23        672  ...            1         2
1000                                28163-5-1 LAKE CITY         35  ...            1         2
1001                                           28049-29        435  ...            1         2
1002                                           28049-28        701  ...            1         2
1003                                           28049-27        883  ...            1         2
1006                                           28049-09        542  ...            1         2
1008          28151-WASHINGTON COUNTY CONVENTION CENTER        639  ...            1         2
1010                                       28063-LORMAN        184  ...            1         2
1012                                      28005-TICKFAW        115  ...            1         2
1015                             28133-41-FAIRVIEW-HALE         20  ...            1         2
1016                                  28049-CHAPEL HILL        344  ...            1         2
