294,618,1353,1
295,867,36,1
296,488,785,1
297,629,528,1
298,669,1497,1
299,589,1497,1
300,884,300,1
301,979,705,1
302,912,334,1
303,639,36,1
304,949,595,1
305,265,181,1
306,1186,344,1
307,707,162,1
308,1647,129,1
309,817,304,1
310,845,525,1
311,791,261,1
312,414,589,1
313,140,268,1
314,544,1080,1
315,222,296,1
316,335,65,1
317,790,436,1
318,474,442,1
319,608,1222,1
320,775,1289,1
321,565,217,1
622,288,963,1
625,36,611,1
1035,202,1230,1
1039,549,1522,1
1041,210,782,1
1042,510,1723,1
1043,368,845,1
1045,350,1753,1
1060,34,456,1
1062,128,270,1
1063,52,222,1
1066,74,489,1
1068,1324,2888,1
1567,1090,2312,1
1568,665,1725,1
1569,857,553,1
1570,465,194,1
1571,736,2280,1
1572,697,1665,1
1573,835,1725,1
1574,615,1427,1
1575,1543,189,1
1576,277,343,1
1577,1193,787,1
1578,382,908,1
1579,334,1462,1
1580,967,2089,1
1581,1160,639,1
1582,943,688,1
1583,725,1530,1
1584,579,1412,1
1585,694,1289,1
1586,1122,2399,1
1922,29,451,1
1926,43,913,1
1927,111,381,1
1928,408,406,1
1929,24,493,1
1943,61,522,1
1975,44,632,1
1976,398,1199,1
1990,633,1536,1
1991,1218,395,1
1992,317,221,1
1993,884,902,1
1994,255,94,1
1995,1320,436,1
1996,653,521,1
1997,1110,440,1
1998,1612,1388,1
1999,1818,1034,1
2000,830,219,1
2001,629,161,1
2002,1820,612,1
2010,526,627,1
2011,119,372,1
2012,89,451,1
2013,601,1060,1
2014,33,174,1
2015,336,516,1
2016,329,328,1
2040,654,1041,1
2041,868,501,1
2042,528,943,1
2043,32,10,1
2044,414,1213,1
2045,116,308,1
2108,160,461,1
2109,217,769,1
2110,408,545,1
2111,48,325,1
2112,95,244,1
2113,16,247,1
2114,35,369,1
2229,101,1113,1
2230,226,1969,1
2231,55,602,1
2232,80,935,1
2233,131,821,1
2234,478,1898,1
2235,4,224,1
2236,25,337,1
2412,93,620,1
2413,227,783,1
2414,365,1405,1
2415,512,1221,1
2416,99,436,1
2417,532,1073,1
2418,182,370,1
2419,51,145,1
2467,109,946,1
2468,597,1656,1
2469,72,908,1
2470,1271,2709,1
2471,890,1653,1
2475,133,1300,1
2476,819,801,1
2547,364,2212,1
2548,17,339,1
2550,630,2087,1
2551,574,1062,1
2552,24,263,1
2553,104,1067,1
2557,23,454,1
2567,78,737,1
2568,64,845,1
2569,89,906,1
2570,500,156,1
2571,337,395,1
2572,363,967,1
2573,195,1190,1
2574,73,795,1
2575,282,960,1
2576,408,1379,1
2577,168,1092,1
2578,130,565,1
2580,452,906,1
2581,237,677,1
14,293,406,2
15,148,141,2
16,111,120,2
17,31,93,2
18,69,137,2
78,2987,326,2
79,1543,175,2
80,1676,232,2
81,929,1734,2
82,863,1590,2
83,2328,301,2
84,1606,1215,2
85,1509,670,2
86,826,139,2
87,877,1573,2
88,2169,157,2
89,1264,379,2
90,1180,937,2
91,2042,283,2
92,795,98,2
93,2233,2397,2
94,818,913,2
95,675,1300,2
96,3284,1201,2
97,1618,2112,2
98,917,535,2
99,1309,95,2
100,1784,2559,2
101,939,291,2
102,929,47,2
103,1601,153,2
104,992,1727,2
105,1563,570,2
106,736,878,2
107,851,1421,2
108,625,577,2
163,144,350,2
164,291,227,2
165,348,121,2
166,234,161,2
167,243,64,2
322,667,880,2
402,199,53,2
403,171,81,2
404,91,173,2
405,179,130,2
406,150,200,2
633,55,512,2
642,17,159,2
646,27,291,2
728,161,1125,2
729,535,691,2
